pre_gen_epoch:0, g_pre_loss: 2.3599, nll_gen: 1.5665, bleu2: 0.4329, bleu3: 0.1643, bleu4: 0.0899, bleu5: 0.0654
pre_gen_epoch:10, g_pre_loss: 0.9822, nll_gen: 0.9471, bleu2: 0.7146, bleu3: 0.4679, bleu4: 0.2783, bleu5: 0.1693
pre_gen_epoch:20, g_pre_loss: 0.8523, nll_gen: 0.8330, bleu2: 0.7492, bleu3: 0.5201, bleu4: 0.3148, bleu5: 0.1974
pre_gen_epoch:30, g_pre_loss: 0.7972, nll_gen: 0.7907, bleu2: 0.7376, bleu3: 0.5109, bleu4: 0.3320, bleu5: 0.2096
pre_gen_epoch:40, g_pre_loss: 0.7698, nll_gen: 0.7657, bleu2: 0.7391, bleu3: 0.5042, bleu4: 0.3155, bleu5: 0.1939
pre_gen_epoch:50, g_pre_loss: 0.7503, nll_gen: 0.7545, bleu2: 0.7330, bleu3: 0.5040, bleu4: 0.3236, bleu5: 0.2002
pre_gen_epoch:60, g_pre_loss: 0.7400, nll_gen: 0.7458, bleu2: 0.7316, bleu3: 0.4872, bleu4: 0.3066, bleu5: 0.1920
pre_gen_epoch:70, g_pre_loss: 0.7318, nll_gen: 0.7369, bleu2: 0.7658, bleu3: 0.5427, bleu4: 0.3427, bleu5: 0.2163
pre_gen_epoch:80, g_pre_loss: 0.7244, nll_gen: 0.7312, bleu2: 0.7370, bleu3: 0.4942, bleu4: 0.2983, bleu5: 0.1807
pre_gen_epoch:90, g_pre_loss: 0.7198, nll_gen: 0.7256, bleu2: 0.7404, bleu3: 0.5092, bleu4: 0.3178, bleu5: 0.1998
pre_gen_epoch:100, g_pre_loss: 0.7129, nll_gen: 0.7189, bleu2: 0.7473, bleu3: 0.5142, bleu4: 0.3103, bleu5: 0.1899
pre_gen_epoch:110, g_pre_loss: 0.7075, nll_gen: 0.7149, bleu2: 0.7534, bleu3: 0.5251, bleu4: 0.3236, bleu5: 0.1943
pre_gen_epoch:120, g_pre_loss: 0.7074, nll_gen: 0.7169, bleu2: 0.7435, bleu3: 0.5151, bleu4: 0.3254, bleu5: 0.2035
pre_gen_epoch:130, g_pre_loss: 0.7056, nll_gen: 0.7124, bleu2: 0.7530, bleu3: 0.5339, bleu4: 0.3439, bleu5: 0.2143
pre_gen_epoch:140, g_pre_loss: 0.7014, nll_gen: 0.7125, bleu2: 0.7368, bleu3: 0.5007, bleu4: 0.3038, bleu5: 0.1902
adv_step: 0, nll_gen: 0.7094, bleu2: 0.7481, bleu3: 0.5154, bleu4: 0.3203, bleu5: 0.1995
adv_step: 20, nll_gen: 0.7094, bleu2: 0.7098, bleu3: 0.4693, bleu4: 0.2953, bleu5: 0.1816
adv_step: 40, nll_gen: 0.7093, bleu2: 0.7442, bleu3: 0.4960, bleu4: 0.3160, bleu5: 0.1965
adv_step: 60, nll_gen: 0.7093, bleu2: 0.7189, bleu3: 0.4792, bleu4: 0.3005, bleu5: 0.1892
adv_step: 80, nll_gen: 0.7097, bleu2: 0.7125, bleu3: 0.4783, bleu4: 0.2992, bleu5: 0.1921
adv_step: 100, nll_gen: 0.7103, bleu2: 0.7301, bleu3: 0.4948, bleu4: 0.3159, bleu5: 0.2084
adv_step: 120, nll_gen: 0.7109, bleu2: 0.7515, bleu3: 0.5222, bleu4: 0.3194, bleu5: 0.1965
adv_step: 140, nll_gen: 0.7117, bleu2: 0.7552, bleu3: 0.5238, bleu4: 0.3236, bleu5: 0.2034
adv_step: 160, nll_gen: 0.7126, bleu2: 0.7396, bleu3: 0.5180, bleu4: 0.3303, bleu5: 0.2041
adv_step: 180, nll_gen: 0.7138, bleu2: 0.7530, bleu3: 0.5139, bleu4: 0.3227, bleu5: 0.2008
adv_step: 200, nll_gen: 0.7148, bleu2: 0.7604, bleu3: 0.5289, bleu4: 0.3438, bleu5: 0.2181
adv_step: 220, nll_gen: 0.7158, bleu2: 0.7157, bleu3: 0.4925, bleu4: 0.3062, bleu5: 0.1928
adv_step: 240, nll_gen: 0.7169, bleu2: 0.7476, bleu3: 0.5138, bleu4: 0.3270, bleu5: 0.2069
adv_step: 260, nll_gen: 0.7182, bleu2: 0.7390, bleu3: 0.4988, bleu4: 0.3170, bleu5: 0.1978
adv_step: 280, nll_gen: 0.7194, bleu2: 0.7595, bleu3: 0.5322, bleu4: 0.3401, bleu5: 0.2119
adv_step: 300, nll_gen: 0.7205, bleu2: 0.7666, bleu3: 0.5439, bleu4: 0.3483, bleu5: 0.2177
adv_step: 320, nll_gen: 0.7216, bleu2: 0.7562, bleu3: 0.5201, bleu4: 0.3248, bleu5: 0.2002
adv_step: 340, nll_gen: 0.7227, bleu2: 0.7695, bleu3: 0.5471, bleu4: 0.3519, bleu5: 0.2239
adv_step: 360, nll_gen: 0.7236, bleu2: 0.7734, bleu3: 0.5595, bleu4: 0.3627, bleu5: 0.2296
adv_step: 380, nll_gen: 0.7244, bleu2: 0.7664, bleu3: 0.5343, bleu4: 0.3370, bleu5: 0.2069
adv_step: 400, nll_gen: 0.7252, bleu2: 0.7661, bleu3: 0.5410, bleu4: 0.3343, bleu5: 0.2081
adv_step: 420, nll_gen: 0.7260, bleu2: 0.7493, bleu3: 0.5137, bleu4: 0.3167, bleu5: 0.2013
adv_step: 440, nll_gen: 0.7267, bleu2: 0.7172, bleu3: 0.4796, bleu4: 0.2998, bleu5: 0.1879
adv_step: 460, nll_gen: 0.7273, bleu2: 0.7618, bleu3: 0.5510, bleu4: 0.3573, bleu5: 0.2233
adv_step: 480, nll_gen: 0.7279, bleu2: 0.7365, bleu3: 0.4948, bleu4: 0.3079, bleu5: 0.1894
adv_step: 500, nll_gen: 0.7282, bleu2: 0.7539, bleu3: 0.5275, bleu4: 0.3314, bleu5: 0.2084
adv_step: 520, nll_gen: 0.7283, bleu2: 0.7446, bleu3: 0.4928, bleu4: 0.3062, bleu5: 0.1881
adv_step: 540, nll_gen: 0.7285, bleu2: 0.7641, bleu3: 0.5533, bleu4: 0.3677, bleu5: 0.2400
adv_step: 560, nll_gen: 0.7284, bleu2: 0.7573, bleu3: 0.5348, bleu4: 0.3515, bleu5: 0.2187
adv_step: 580, nll_gen: 0.7284, bleu2: 0.7639, bleu3: 0.5248, bleu4: 0.3307, bleu5: 0.2052
adv_step: 600, nll_gen: 0.7283, bleu2: 0.7535, bleu3: 0.5234, bleu4: 0.3441, bleu5: 0.2124
adv_step: 620, nll_gen: 0.7283, bleu2: 0.7439, bleu3: 0.5209, bleu4: 0.3386, bleu5: 0.2188
adv_step: 640, nll_gen: 0.7282, bleu2: 0.7691, bleu3: 0.5441, bleu4: 0.3478, bleu5: 0.2156
adv_step: 660, nll_gen: 0.7278, bleu2: 0.7534, bleu3: 0.5361, bleu4: 0.3455, bleu5: 0.2206
adv_step: 680, nll_gen: 0.7274, bleu2: 0.7513, bleu3: 0.5133, bleu4: 0.3088, bleu5: 0.1910
adv_step: 700, nll_gen: 0.7271, bleu2: 0.7601, bleu3: 0.5307, bleu4: 0.3378, bleu5: 0.2134
adv_step: 720, nll_gen: 0.7269, bleu2: 0.7603, bleu3: 0.5236, bleu4: 0.3258, bleu5: 0.2024
adv_step: 740, nll_gen: 0.7267, bleu2: 0.7667, bleu3: 0.5292, bleu4: 0.3291, bleu5: 0.2091
adv_step: 760, nll_gen: 0.7263, bleu2: 0.7579, bleu3: 0.5368, bleu4: 0.3395, bleu5: 0.2121
adv_step: 780, nll_gen: 0.7260, bleu2: 0.7615, bleu3: 0.5214, bleu4: 0.3286, bleu5: 0.2102
adv_step: 800, nll_gen: 0.7256, bleu2: 0.7722, bleu3: 0.5380, bleu4: 0.3399, bleu5: 0.2147
adv_step: 820, nll_gen: 0.7251, bleu2: 0.7696, bleu3: 0.5592, bleu4: 0.3582, bleu5: 0.2114
adv_step: 840, nll_gen: 0.7245, bleu2: 0.7586, bleu3: 0.5238, bleu4: 0.3297, bleu5: 0.2085
adv_step: 860, nll_gen: 0.7239, bleu2: 0.7594, bleu3: 0.5242, bleu4: 0.3231, bleu5: 0.1941
adv_step: 880, nll_gen: 0.7235, bleu2: 0.7618, bleu3: 0.5449, bleu4: 0.3635, bleu5: 0.2392
adv_step: 900, nll_gen: 0.7229, bleu2: 0.7729, bleu3: 0.5557, bleu4: 0.3521, bleu5: 0.2170
adv_step: 920, nll_gen: 0.7223, bleu2: 0.7497, bleu3: 0.5205, bleu4: 0.3310, bleu5: 0.2090
adv_step: 940, nll_gen: 0.7220, bleu2: 0.7587, bleu3: 0.5263, bleu4: 0.3292, bleu5: 0.2063
adv_step: 960, nll_gen: 0.7217, bleu2: 0.7737, bleu3: 0.5501, bleu4: 0.3573, bleu5: 0.2230
adv_step: 980, nll_gen: 0.7215, bleu2: 0.7558, bleu3: 0.5291, bleu4: 0.3361, bleu5: 0.2123
adv_step: 1000, nll_gen: 0.7214, bleu2: 0.7633, bleu3: 0.5375, bleu4: 0.3341, bleu5: 0.2075
adv_step: 1020, nll_gen: 0.7212, bleu2: 0.7588, bleu3: 0.5316, bleu4: 0.3291, bleu5: 0.2049
adv_step: 1040, nll_gen: 0.7209, bleu2: 0.7709, bleu3: 0.5574, bleu4: 0.3632, bleu5: 0.2261
adv_step: 1060, nll_gen: 0.7208, bleu2: 0.7515, bleu3: 0.5120, bleu4: 0.3039, bleu5: 0.1874
adv_step: 1080, nll_gen: 0.7208, bleu2: 0.7544, bleu3: 0.5264, bleu4: 0.3290, bleu5: 0.1999
adv_step: 1100, nll_gen: 0.7210, bleu2: 0.7568, bleu3: 0.5348, bleu4: 0.3330, bleu5: 0.2084
adv_step: 1120, nll_gen: 0.7210, bleu2: 0.7631, bleu3: 0.5302, bleu4: 0.3438, bleu5: 0.2194
adv_step: 1140, nll_gen: 0.7209, bleu2: 0.7569, bleu3: 0.5380, bleu4: 0.3512, bleu5: 0.2217
adv_step: 1160, nll_gen: 0.7207, bleu2: 0.7420, bleu3: 0.5067, bleu4: 0.3159, bleu5: 0.1903
adv_step: 1180, nll_gen: 0.7202, bleu2: 0.7568, bleu3: 0.5218, bleu4: 0.3277, bleu5: 0.2059
adv_step: 1200, nll_gen: 0.7201, bleu2: 0.7771, bleu3: 0.5513, bleu4: 0.3585, bleu5: 0.2254
adv_step: 1220, nll_gen: 0.7197, bleu2: 0.7641, bleu3: 0.5445, bleu4: 0.3533, bleu5: 0.2248
adv_step: 1240, nll_gen: 0.7195, bleu2: 0.7574, bleu3: 0.5295, bleu4: 0.3266, bleu5: 0.2061
adv_step: 1260, nll_gen: 0.7195, bleu2: 0.7730, bleu3: 0.5481, bleu4: 0.3467, bleu5: 0.2156
adv_step: 1280, nll_gen: 0.7194, bleu2: 0.7551, bleu3: 0.5261, bleu4: 0.3314, bleu5: 0.2067
adv_step: 1300, nll_gen: 0.7191, bleu2: 0.7637, bleu3: 0.5340, bleu4: 0.3493, bleu5: 0.2193
adv_step: 1320, nll_gen: 0.7191, bleu2: 0.7483, bleu3: 0.5126, bleu4: 0.3232, bleu5: 0.2018
adv_step: 1340, nll_gen: 0.7191, bleu2: 0.7551, bleu3: 0.5326, bleu4: 0.3456, bleu5: 0.2207
adv_step: 1360, nll_gen: 0.7190, bleu2: 0.7543, bleu3: 0.5277, bleu4: 0.3360, bleu5: 0.2096
adv_step: 1380, nll_gen: 0.7187, bleu2: 0.7716, bleu3: 0.5652, bleu4: 0.3733, bleu5: 0.2340
adv_step: 1400, nll_gen: 0.7185, bleu2: 0.7591, bleu3: 0.5298, bleu4: 0.3344, bleu5: 0.2088
adv_step: 1420, nll_gen: 0.7184, bleu2: 0.7489, bleu3: 0.5237, bleu4: 0.3374, bleu5: 0.2072
adv_step: 1440, nll_gen: 0.7182, bleu2: 0.7494, bleu3: 0.5110, bleu4: 0.3244, bleu5: 0.1983
adv_step: 1460, nll_gen: 0.7179, bleu2: 0.7454, bleu3: 0.5236, bleu4: 0.3337, bleu5: 0.2076
adv_step: 1480, nll_gen: 0.7173, bleu2: 0.7609, bleu3: 0.5379, bleu4: 0.3463, bleu5: 0.2230
adv_step: 1500, nll_gen: 0.7169, bleu2: 0.7751, bleu3: 0.5492, bleu4: 0.3487, bleu5: 0.2203
adv_step: 1520, nll_gen: 0.7169, bleu2: 0.7451, bleu3: 0.5237, bleu4: 0.3283, bleu5: 0.2040
adv_step: 1540, nll_gen: 0.7168, bleu2: 0.7515, bleu3: 0.5243, bleu4: 0.3268, bleu5: 0.2004
adv_step: 1560, nll_gen: 0.7164, bleu2: 0.7355, bleu3: 0.5015, bleu4: 0.3127, bleu5: 0.1897
adv_step: 1580, nll_gen: 0.7163, bleu2: 0.7458, bleu3: 0.5178, bleu4: 0.3297, bleu5: 0.2108
adv_step: 1600, nll_gen: 0.7164, bleu2: 0.7612, bleu3: 0.5327, bleu4: 0.3421, bleu5: 0.2148
adv_step: 1620, nll_gen: 0.7163, bleu2: 0.7688, bleu3: 0.5587, bleu4: 0.3570, bleu5: 0.2190
adv_step: 1640, nll_gen: 0.7161, bleu2: 0.7529, bleu3: 0.5182, bleu4: 0.3385, bleu5: 0.2133
adv_step: 1660, nll_gen: 0.7159, bleu2: 0.7650, bleu3: 0.5516, bleu4: 0.3608, bleu5: 0.2361
adv_step: 1680, nll_gen: 0.7158, bleu2: 0.7594, bleu3: 0.5428, bleu4: 0.3538, bleu5: 0.2245
adv_step: 1700, nll_gen: 0.7160, bleu2: 0.7658, bleu3: 0.5350, bleu4: 0.3434, bleu5: 0.2153
adv_step: 1720, nll_gen: 0.7157, bleu2: 0.7547, bleu3: 0.5273, bleu4: 0.3310, bleu5: 0.2073
adv_step: 1740, nll_gen: 0.7157, bleu2: 0.7529, bleu3: 0.5189, bleu4: 0.3320, bleu5: 0.2060
adv_step: 1760, nll_gen: 0.7155, bleu2: 0.7460, bleu3: 0.5156, bleu4: 0.3282, bleu5: 0.2099
adv_step: 1780, nll_gen: 0.7155, bleu2: 0.7413, bleu3: 0.5021, bleu4: 0.3113, bleu5: 0.1946
adv_step: 1800, nll_gen: 0.7155, bleu2: 0.7476, bleu3: 0.5169, bleu4: 0.3272, bleu5: 0.2070
adv_step: 1820, nll_gen: 0.7153, bleu2: 0.7426, bleu3: 0.5154, bleu4: 0.3261, bleu5: 0.2085
adv_step: 1840, nll_gen: 0.7152, bleu2: 0.7612, bleu3: 0.5333, bleu4: 0.3413, bleu5: 0.2231
adv_step: 1860, nll_gen: 0.7151, bleu2: 0.7712, bleu3: 0.5470, bleu4: 0.3638, bleu5: 0.2296
adv_step: 1880, nll_gen: 0.7153, bleu2: 0.7527, bleu3: 0.5284, bleu4: 0.3374, bleu5: 0.2161
adv_step: 1900, nll_gen: 0.7152, bleu2: 0.7691, bleu3: 0.5420, bleu4: 0.3392, bleu5: 0.2124
adv_step: 1920, nll_gen: 0.7153, bleu2: 0.7552, bleu3: 0.5108, bleu4: 0.3177, bleu5: 0.1968
adv_step: 1940, nll_gen: 0.7152, bleu2: 0.7516, bleu3: 0.5253, bleu4: 0.3311, bleu5: 0.2148
adv_step: 1960, nll_gen: 0.7149, bleu2: 0.7582, bleu3: 0.5296, bleu4: 0.3411, bleu5: 0.2150
adv_step: 1980, nll_gen: 0.7147, bleu2: 0.7578, bleu3: 0.5308, bleu4: 0.3341, bleu5: 0.2072
