0,1,experiment-log-rmcgan (3),experiment-log-rmcgan (4),experiment-log-rmcgan (5),experiment-log-rmcgan (6),experiment-log-rmcgan (8)
pre_gen_epoch:0   ,1.4949,1.4862,1.5638,1.5312,1.5637,1.5201
pre_gen_epoch:10  ,0.9591,0.953,0.9512,0.9489,0.9615,0.9574
pre_gen_epoch:20  ,0.8426,0.8352,0.8389,0.8376,0.8402,0.8432
pre_gen_epoch:30  ,0.8005,0.7901,0.7941,0.7987,0.8012,0.8028
pre_gen_epoch:40  ,0.7793,0.7719,0.774,0.7844,0.7747,0.7826
pre_gen_epoch:50  ,0.7598,0.758,0.7628,0.7636,0.7615,0.7713
pre_gen_epoch:60  ,0.7564,0.7471,0.7544,0.7533,0.7513,0.763
pre_gen_epoch:70  ,0.7466,0.7391,0.7478,0.7487,0.7418,0.7522
pre_gen_epoch:80  ,0.7367,0.7293,0.7417,0.7425,0.7387,0.7397
pre_gen_epoch:90  ,0.7347,0.7244,0.7416,0.7357,0.734,0.7345
pre_gen_epoch:100 ,0.7255,0.7211,0.7435,0.7308,0.7294,0.7292
pre_gen_epoch:110 ,0.7254,0.7159,0.7312,0.725,0.7278,0.7233
pre_gen_epoch:120 ,0.7223,0.7114,0.7281,0.7224,0.7252,0.7221
pre_gen_epoch:130 ,0.7194,0.7148,0.7295,0.7188,0.726,0.7215
pre_gen_epoch:140 ,0.72,0.7088,0.7255,0.7242,0.7212,0.7184
adv_step: 0       ,0.7147,0.7131,0.7259,0.7214,0.7181,0.7169
adv_step: 20      ,0.7148,0.7131,0.7259,0.7214,0.7179,0.7168
adv_step: 40      ,0.7148,0.7133,0.7259,0.7214,0.7178,0.7167
adv_step: 60      ,0.7149,0.7134,0.7259,0.7214,0.7178,0.7167
adv_step: 80      ,0.715,0.7135,0.726,0.7215,0.7177,0.7168
adv_step: 100     ,0.7151,0.7136,0.7261,0.7216,0.7177,0.7169
adv_step: 120     ,0.7152,0.7139,0.7263,0.7217,0.7177,0.7171
adv_step: 140     ,0.7153,0.7141,0.7264,0.722,0.7178,0.7172
adv_step: 160     ,0.7155,0.7143,0.7265,0.7222,0.7178,0.7173
adv_step: 180     ,0.7159,0.7144,0.7268,0.7224,0.7179,0.7175
adv_step: 200     ,0.7163,0.7147,0.7271,0.7227,0.718,0.7179
adv_step: 220     ,0.7166,0.715,0.7274,0.7228,0.718,0.7181
adv_step: 240     ,0.7168,0.7153,0.7277,0.7233,0.7182,0.7184
adv_step: 260     ,0.7171,0.7157,0.728,0.7237,0.7184,0.7187
adv_step: 280     ,0.7176,0.7161,0.7283,0.7243,0.7186,0.7191
adv_step: 300     ,0.7181,0.7165,0.7285,0.7248,0.7188,0.7195
adv_step: 320     ,0.7186,0.7169,0.7289,0.7254,0.719,0.7201
adv_step: 340     ,0.7192,0.7173,0.7294,0.726,0.7193,0.7207
adv_step: 360     ,0.7198,0.7178,0.7298,0.7267,0.7195,0.7212
adv_step: 380     ,0.7205,0.7184,0.7306,0.7274,0.7199,0.7219
adv_step: 400     ,0.7213,0.7191,0.7312,0.7282,0.7203,0.7227
adv_step: 420     ,0.7222,0.7198,0.7318,0.7291,0.7208,0.7236
adv_step: 440     ,0.7231,0.7206,0.7325,0.7302,0.7213,0.7246
adv_step: 460     ,0.7243,0.7214,0.7333,0.7313,0.7219,0.7254
adv_step: 480     ,0.7256,0.7224,0.7341,0.7325,0.7225,0.7267
adv_step: 500     ,0.7266,0.7234,0.7348,0.7337,0.723,0.7277
adv_step: 520     ,0.7279,0.7244,0.7357,0.7351,0.7236,0.7288
adv_step: 540     ,0.7291,0.7257,0.7367,0.7367,0.7243,0.7298
adv_step: 560     ,0.7306,0.7271,0.7377,0.7384,0.7251,0.7312
adv_step: 580     ,0.7322,0.7286,0.7388,0.74,0.7259,0.7329
adv_step: 600     ,0.7336,0.73,0.74,0.7418,0.7267,0.7349
adv_step: 620     ,0.7356,0.7316,0.7413,0.7434,0.7276,0.737
adv_step: 640     ,0.7377,0.733,0.7426,0.7454,0.7289,0.7391
adv_step: 660     ,0.7399,0.7347,0.7439,0.7471,0.7301,0.7412
adv_step: 680     ,0.742,0.7364,0.7454,0.7481,0.7313,0.7435
adv_step: 700     ,0.7442,0.7381,0.7469,0.7495,0.7324,0.7456
adv_step: 720     ,0.7462,0.7402,0.7484,0.751,0.7335,0.7479
adv_step: 740     ,0.7486,0.7421,0.7501,0.7525,0.7346,0.75
adv_step: 760     ,0.7507,0.7439,0.7516,0.7541,0.7359,0.7518
adv_step: 780     ,0.7529,0.7454,0.7532,0.7556,0.7372,0.7537
adv_step: 800     ,0.7554,0.747,0.7545,0.7569,0.7385,0.7555
adv_step: 820     ,0.7575,0.7489,0.7556,0.7587,0.7396,0.7574
adv_step: 840     ,0.7596,0.7505,0.7572,0.7607,0.7407,0.7592
adv_step: 860     ,0.7619,0.752,0.7585,0.763,0.7418,0.7613
adv_step: 880     ,0.7638,0.7537,0.76,0.7649,0.7429,0.7639
adv_step: 900     ,0.7657,0.7553,0.7615,0.767,0.7439,0.766
adv_step: 920     ,0.7679,0.7566,0.7629,0.7695,0.745,0.7686
adv_step: 940     ,0.7699,0.7586,0.7645,0.7716,0.7462,0.7715
adv_step: 960     ,0.7716,0.7613,0.766,0.7744,0.7476,0.7743
adv_step: 980     ,0.7738,0.7633,0.7676,0.7766,0.749,0.7775
adv_step: 1000    ,0.7762,0.7653,0.7693,0.779,0.7505,0.7814
adv_step: 1020    ,0.7783,0.7675,0.7714,0.7819,0.752,0.7847
adv_step: 1040    ,0.7807,0.7698,0.7735,0.785,0.7538,0.7887
adv_step: 1060    ,0.7838,0.7722,0.7754,0.7886,0.7556,0.7928
adv_step: 1080    ,0.7868,0.7744,0.7775,0.7922,0.7576,0.7973
adv_step: 1100    ,0.7894,0.7772,0.7798,0.7955,0.7597,0.8022
adv_step: 1120    ,0.7919,0.7799,0.7823,0.7989,0.762,0.8073
adv_step: 1140    ,0.7946,0.7826,0.7849,0.8022,0.7642,0.812
adv_step: 1160    ,0.7967,0.7855,0.788,0.8057,0.7669,0.817
adv_step: 1180    ,0.8002,0.7887,0.7908,0.8098,0.7696,0.822
adv_step: 1200    ,0.8043,0.7912,0.7939,0.8137,0.7719,0.8271
adv_step: 1220    ,0.8075,0.7941,0.7971,0.8174,0.7744,0.8323
adv_step: 1240    ,0.8106,0.7971,0.8003,0.8207,0.7772,0.8376
adv_step: 1260    ,0.8145,0.7998,0.8035,0.8245,0.7801,0.843
adv_step: 1280    ,0.8181,0.8028,0.8068,0.8286,0.783,0.8492
adv_step: 1300    ,0.822,0.8058,0.8103,0.8333,0.7859,0.8549
adv_step: 1320    ,0.8257,0.8093,0.8139,0.838,0.7892,0.86
adv_step: 1340    ,0.829,0.813,0.818,0.8431,0.7921,0.8652
adv_step: 1360    ,0.8331,0.8162,0.822,0.8476,0.7952,0.8703
adv_step: 1380    ,0.8384,0.8193,0.8262,0.8523,0.7985,0.8751
adv_step: 1400    ,0.8426,0.8226,0.8306,0.8579,0.8017,0.8807
adv_step: 1420    ,0.8475,0.8258,0.8354,0.8637,0.805,0.8857
adv_step: 1440    ,0.8531,0.8297,0.8397,0.8692,0.8085,0.8914
adv_step: 1460    ,0.859,0.8338,0.8443,0.8752,0.8119,0.8976
adv_step: 1480    ,0.8649,0.8372,0.8493,0.8808,0.8153,0.9035
adv_step: 1500    ,0.8708,0.8413,0.8539,0.8855,0.8187,0.9091
adv_step: 1520    ,0.8766,0.8452,0.8584,0.8901,0.822,0.9153
adv_step: 1540    ,0.8829,0.8492,0.863,0.8954,0.8253,0.9213
adv_step: 1560    ,0.8891,0.853,0.8682,0.9001,0.8289,0.9271
adv_step: 1580    ,0.8957,0.8569,0.874,0.9057,0.8325,0.9334
adv_step: 1600    ,0.901,0.861,0.8811,0.9097,0.8361,0.9397
adv_step: 1620    ,0.9077,0.8652,0.8867,0.9133,0.8398,0.9463
adv_step: 1640    ,0.914,0.8687,0.8934,0.918,0.8435,0.9523
adv_step: 1660    ,0.9208,0.8725,0.9004,0.9236,0.8473,0.9593
adv_step: 1680    ,0.927,0.8754,0.9081,0.9293,0.8509,0.9662
adv_step: 1700    ,0.9339,0.8788,0.9159,0.935,0.8544,0.9722
adv_step: 1720    ,0.941,0.8831,0.9231,0.9421,0.8579,0.9779
adv_step: 1740    ,0.9478,0.8874,0.93,0.9468,0.8622,0.9829
adv_step: 1760    ,0.9558,0.8899,0.9376,0.9524,0.8662,0.9879
adv_step: 1780    ,0.963,0.8938,0.9444,0.9575,0.8701,0.9924
adv_step: 1800    ,0.9706,0.8977,0.951,0.9632,0.8733,0.9989
adv_step: 1820    ,0.9774,0.901,0.9565,0.9687,0.8766,1.005
adv_step: 1840    ,0.9847,0.9048,0.9625,0.9745,0.8806,1.0116
adv_step: 1860    ,0.993,0.9086,0.9699,0.979,0.8849,1.0179
adv_step: 1880    ,1.0007,0.9126,0.9773,0.9832,0.8887,1.0231
adv_step: 1900    ,1.008,0.9161,0.983,0.9881,0.8923,1.0285
adv_step: 1920    ,1.0139,0.9198,0.9894,0.9928,0.8958,1.0334
adv_step: 1940    ,1.0215,0.9234,0.9961,0.9979,0.8991,1.0386
adv_step: 1960    ,1.0288,0.9262,1.0033,1.002,0.9023,1.045
adv_step: 1980    ,1.0367,0.9303,1.0108,1.0061,0.9061,1.0513
